,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,1246526,-,-,-,40.81,-73.94,-5,19,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
1,Year,Month,Day,Hour,Minute,Dew Point,GHI,Temperature,Wind Direction,Surface Albedo,DHI,DNI,Pressure,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2017,1,3,3,30,3.6,0,4,52,0.12,0,0,1018,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2017,1,3,4,30,3.5,0,4,55,0.12,0,0,1017,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2017,1,3,5,30,3.6,0,4,57,0.12,0,0,1016,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2017,1,3,6,30,3.6,0,4.1000000000000005,60,0.12,0,0,1016,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2017,1,3,7,30,3.7,3,4.2,63,0.12,3,0,1015,3.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2017,1,3,8,30,3.9000000000000004,12,4.5,66,0.12,12,0,1014,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2017,1,3,9,30,4.2,19,4.800000000000001,67,0.12,19,0,1012,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2017,1,3,10,30,4.6000000000000005,54,5.2,67,0.12,54,0,1010,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2017,1,3,11,30,4.9,49,5.5,67,0.12,48,0,1008,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2017,1,3,12,30,5,58,5.7,66,0.12,57,0,1006,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2017,1,3,13,30,5.2,42,5.7,64,0.12,42,0,1004,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2017,1,3,14,30,5.2,4,5.6000000000000005,58,0.12,4,0,1002,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2017,1,3,15,30,5.1000000000000005,12,5.5,51,0.12,12,0,1001,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2017,1,3,16,30,5,2,5.300000000000001,48,0.12,2,0,1000,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2017,1,3,17,30,4.9,0,5.1000000000000005,41,0.12,0,0,999,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2017,1,3,18,30,4.7,0,4.7,32,0.12,0,0,998,1.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2017,1,3,19,30,4.3,0,4.3,20,0.12,0,0,997,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
